id,created_at,current_mA,flow_rate,doc_number,time,audio_url
10332,2025-04-22 06:12:12.415129+00,6681.25,64,10716,2025-04-22 06:12:10.716,
10331,2025-04-22 06:12:00.712987+00,7733.75,64.12,10715,2025-04-22 06:11:59.096,
10330,2025-04-22 06:11:49.097095+00,7913.75,64.36,10714,2025-04-22 06:11:47.476,
10329,2025-04-22 06:11:37.475868+00,6920,64.12,10713,2025-04-22 06:11:35.806,
10328,2025-04-22 06:11:25.800736+00,7746.25,64.36,10712,2025-04-22 06:11:24.186,
10327,2025-04-22 06:11:14.159215+00,6660,64.36,10711,2025-04-22 06:11:12.516,
10326,2025-04-22 06:11:02.51093+00,7376.25,64.24,10710,2025-04-22 06:11:00.866,
10325,2025-04-22 06:10:50.859136+00,7281.25,64.24,10709,2025-04-22 06:10:49.196,
10324,2025-04-22 06:10:39.198767+00,6616.25,64.24,10708,2025-04-22 06:10:37.606,
10323,2025-04-22 06:10:27.598567+00,7302.5,64.12,10707,2025-04-22 06:10:25.906,
10322,2025-04-22 06:10:15.905983+00,7872.5,64.36,10706,2025-04-22 06:10:14.336,
10321,2025-04-22 06:10:04.314949+00,8086.25,64.12,10705,2025-04-22 06:10:02.636,
10320,2025-04-22 06:09:52.623865+00,7888.75,64.12,10704,2025-04-22 06:09:51.026,
10319,2025-04-22 06:09:41.025075+00,7075,64.24,10703,2025-04-22 06:09:39.426,
10318,2025-04-22 06:09:29.391365+00,7890,64.36,10702,2025-04-22 06:09:27.776,
10317,2025-04-22 06:09:17.775092+00,7083.75,64,10701,2025-04-22 06:09:16.126,
10316,2025-04-22 06:09:06.113519+00,7010,64.24,10700,2025-04-22 06:09:04.546,
10315,2025-04-22 06:08:54.544524+00,7827.5,64.12,10699,2025-04-22 06:08:52.926,
10314,2025-04-22 06:08:42.895621+00,7800,64.24,10698,2025-04-22 06:08:41.156,
10313,2025-04-22 06:08:31.155916+00,7873.75,64.24,10697,2025-04-22 06:08:29.576,
10312,2025-04-22 06:08:19.557307+00,6981.25,63.88,10696,2025-04-22 06:08:17.926,
10311,2025-04-22 06:08:07.918646+00,7846.25,64,10695,2025-04-22 06:08:06.326,
10310,2025-04-22 06:07:56.309409+00,7901.25,64.36,10694,2025-04-22 06:07:54.656,
10309,2025-04-22 06:07:44.643449+00,7850,64.12,10693,2025-04-22 06:07:43.036,
10308,2025-04-22 06:07:33.032049+00,7353.75,64,10692,2025-04-22 06:07:31.456,
10307,2025-04-22 06:07:21.437507+00,7292.5,64.12,10691,2025-04-22 06:07:19.806,
10306,2025-04-22 06:07:09.807519+00,8118.75,64.24,10690,2025-04-22 06:07:08.126,
10305,2025-04-22 06:06:58.117531+00,7016.25,64.24,10689,2025-04-22 06:06:56.416,
10304,2025-04-22 06:06:46.4178+00,7381.25,64.36,10688,2025-04-22 06:06:44.826,
10303,2025-04-22 06:06:34.826288+00,7782.5,64.48,10687,2025-04-22 06:06:33.126,
10302,2025-04-22 06:06:23.111064+00,7971.25,64.12,10686,2025-04-22 06:06:21.436,
10301,2025-04-22 06:06:11.426801+00,7270,64.36,10685,2025-04-22 06:06:09.816,
10300,2025-04-22 06:05:59.803499+00,7558.75,64.36,10684,2025-04-22 06:05:58.136,
10299,2025-04-22 06:05:48.138194+00,7922.5,64.24,10683,2025-04-22 06:05:46.526,
10298,2025-04-22 06:05:36.519066+00,8093.75,64.24,10682,2025-04-22 06:05:34.946,
10297,2025-04-22 06:05:24.935872+00,7006.25,64.24,10681,2025-04-22 06:05:23.326,
10296,2025-04-22 06:05:13.309123+00,7867.5,64.24,10680,2025-04-22 06:05:11.626,
10295,2025-04-22 06:05:01.618899+00,7453.75,64.48,10679,2025-04-22 06:04:59.956,
10294,2025-04-22 06:04:49.951106+00,7023.75,64.48,10678,2025-04-22 06:04:48.346,
10293,2025-04-22 06:04:38.343071+00,7677.5,64.12,10677,2025-04-22 06:04:36.666,
10292,2025-04-22 06:04:26.660782+00,7982.5,64.36,10676,2025-04-22 06:04:25.046,
10291,2025-04-22 06:04:15.025525+00,7125,64.36,10675,2025-04-22 06:04:13.396,
10290,2025-04-22 06:04:03.383888+00,7377.5,64.61,10674,2025-04-22 06:04:01.776,
10289,2025-04-22 06:03:51.764182+00,7838.75,64.61,10673,2025-04-22 06:03:50.156,
10288,2025-04-22 06:03:40.150742+00,7486.25,64.48,10672,2025-04-22 06:03:38.576,
10287,2025-04-22 06:03:28.574879+00,7085,64.36,10671,2025-04-22 06:03:26.886,
10286,2025-04-22 06:03:16.878609+00,6803.75,64.36,10670,2025-04-22 06:03:15.256,
10285,2025-04-22 06:03:05.25118+00,8033.75,64.48,10669,2025-04-22 06:03:03.596,
10284,2025-04-22 06:02:53.591864+00,7890,64.61,10668,2025-04-22 06:02:51.996,
10283,2025-04-22 06:02:41.983337+00,8038.75,64.61,10667,2025-04-22 06:02:40.386,
10282,2025-04-22 06:02:30.366527+00,7268.75,64.73,10666,2025-04-22 06:02:28.746,
10281,2025-04-22 06:02:18.7469+00,7130,64.48,10665,2025-04-22 06:02:17.176,
10280,2025-04-22 06:02:07.16486+00,7442.5,64.61,10664,2025-04-22 06:02:05.566,
10279,2025-04-22 06:01:55.567009+00,6727.5,64.24,10663,2025-04-22 06:01:53.916,
10278,2025-04-22 06:01:43.908942+00,7796.25,64.36,10662,2025-04-22 06:01:42.246,
10277,2025-04-22 06:01:32.245741+00,7440,64.36,10661,2025-04-22 06:01:30.626,
10276,2025-04-22 06:01:20.613996+00,7245,64.48,10660,2025-04-22 06:01:19.016,
10275,2025-04-22 06:01:09.004796+00,7393.75,64.36,10659,2025-04-22 06:01:07.386,
10274,2025-04-22 06:00:57.376922+00,7285,64.48,10658,2025-04-22 06:00:55.776,
10273,2025-04-22 06:00:45.77017+00,8163.75,64.48,10657,2025-04-22 06:00:44.166,
10272,2025-04-22 06:00:34.133827+00,6538.75,64.36,10656,2025-04-22 06:00:32.556,
10271,2025-04-22 06:00:22.555479+00,7243.75,64.48,10655,2025-04-22 06:00:20.976,
10270,2025-04-22 06:00:10.9773+00,7141.25,64.48,10654,2025-04-22 06:00:09.396,
10269,2025-04-22 05:59:59.387411+00,7855,64.61,10653,2025-04-22 05:59:57.711,
10268,2025-04-22 05:59:47.712671+00,7541.25,64.61,10652,2025-04-22 05:59:46.110,
10267,2025-04-22 05:59:36.100836+00,7382.5,64.61,10651,2025-04-22 05:59:29.736,
10266,2025-04-22 05:59:19.731728+00,6802.5,64.48,10650,2025-04-22 05:59:18.116,
10265,2025-04-22 05:59:08.104761+00,7855,64.48,10649,2025-04-22 05:59:06.476,
10264,2025-04-22 05:58:56.462865+00,7778.75,64.48,10648,2025-04-22 05:58:54.796,
10263,2025-04-22 05:58:44.793333+00,7793.75,64.48,10647,2025-04-22 05:58:43.206,
10262,2025-04-22 05:58:33.198722+00,8057.5,64.36,10646,2025-04-22 05:58:31.626,
10261,2025-04-22 05:58:21.618488+00,7325,64.48,10645,2025-04-22 05:58:19.866,
10260,2025-04-22 05:58:09.86307+00,7505,64.48,10644,2025-04-22 05:58:08.206,
10259,2025-04-22 05:57:58.195431+00,7530,64.36,10643,2025-04-22 05:57:56.586,
10258,2025-04-22 05:57:46.587016+00,8085,64.48,10642,2025-04-22 05:57:44.956,
10257,2025-04-22 05:57:34.934943+00,8157.5,64.61,10641,2025-04-22 05:57:33.346,
10256,2025-04-22 05:57:23.342804+00,7576.25,64.61,10640,2025-04-22 05:57:21.746,
10255,2025-04-22 05:57:11.737246+00,7965,64.73,10639,2025-04-22 05:57:10.156,
10254,2025-04-22 05:57:00.158788+00,7278.75,64.61,10638,2025-04-22 05:56:58.546,
10253,2025-04-22 05:56:48.547097+00,6537.5,64.48,10637,2025-04-22 05:56:46.956,
10252,2025-04-22 05:56:36.932982+00,7747.5,64.61,10636,2025-04-22 05:56:35.311,
10251,2025-04-22 05:56:25.293964+00,7450,64.48,10635,2025-04-22 05:56:23.596,
10250,2025-04-22 05:56:13.592455+00,6885,64.73,10634,2025-04-22 05:56:11.986,
10249,2025-04-22 05:56:01.980174+00,7686.25,64.61,10633,2025-04-22 05:56:00.396,
10248,2025-04-22 05:55:50.384374+00,7101.25,64.61,10632,2025-04-22 05:55:48.776,
10247,2025-04-22 05:55:38.773639+00,7823.75,64.48,10631,2025-04-22 05:55:37.146,
10246,2025-04-22 05:55:27.139675+00,7598.75,64.48,10630,2025-04-22 05:55:25.546,
10245,2025-04-22 05:55:15.537703+00,8046.25,64.73,10629,2025-04-22 05:55:13.926,
10244,2025-04-22 05:55:03.892818+00,7445,64.36,10628,2025-04-22 05:55:02.306,
10243,2025-04-22 05:54:52.300495+00,7656.25,62.3,10627,2025-04-22 05:54:50.706,
10242,2025-04-22 05:54:40.705888+00,6837.5,64.24,10626,2025-04-22 05:54:39.046,
10241,2025-04-22 05:54:29.04217+00,7322.5,64.48,10625,2025-04-22 05:54:27.436,
10240,2025-04-22 05:54:17.431184+00,7482.5,64.26,10624,2025-04-22 05:54:15.816,
10239,2025-04-22 05:54:05.808518+00,7246.25,64.24,10623,2025-04-22 05:54:04.196,
10238,2025-04-22 05:53:54.173064+00,7648.75,64.36,10622,2025-04-22 05:53:52.536,
10237,2025-04-22 05:53:42.526579+00,7637.5,64.24,10621,2025-04-22 05:53:40.916,
10236,2025-04-22 05:53:30.90374+00,7185,64.24,10620,2025-04-22 05:53:27.296,
10235,2025-04-22 05:53:17.290416+00,7675,64.48,10619,2025-04-22 05:53:15.656,
